date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2019-01-25,84,96,100,5,100,77,78,100,28320,29640,1320,14070,14100,150,44,96,30,14340,2019-01-24T22:39:08-06:00,2019-01-25T06:53:08-06:00,68.62,63.0,13,-0.23,None,16.875,91,72,60,95,100,100,533,2655,13341,10258,34620,30000,16920,4740,120,0,1.53125,3,82,77,100,None,100,96,80,None,42
2019-01-26,91,98,100,75,86,79,94,97,30780,35700,4920,14100,14160,2520,37,86,1050,17760,2019-01-25T22:10:28-06:00,2019-01-26T08:05:28-06:00,67.27,60.0,14,-0.05,0.02,15.625,86,63,78,78,100,98,314,2452,7562,5500,35580,32640,16680,1440,60,0,1.375,2,87,87,92,88,83,100,89,None,81
2019-01-27,89,99,100,84,79,81,82,80,31170,37380,6210,15390,12990,2790,37,83,240,17190,2019-01-26T22:52:16-06:00,2019-01-27T09:15:16-06:00,66.23,61.0,14,-0.04,-0.18,16.25,91,82,100,78,100,98,568,2685,14576,11079,29580,35160,16140,5520,0,0,1.5,0,89,83,89,94,95,100,85,None,100
2019-01-28,94,91,100,96,99,97,78,100,26100,27900,1800,11160,10260,4680,27,94,30,13050,2019-01-27T22:44:30-06:00,2019-01-28T06:29:30-06:00,68.95,65.0,14,0.13,-0.02,17,95,79,95,95,100,99,848,3056,21114,16477,30900,24120,24720,6600,60,0,1.75,1,82,93,82,92,87,93,60,None,100
2019-01-29,67,38,65,60,83,97,81,100,14460,16980,2520,3690,8760,2010,27,85,150,7470,2019-01-28T23:39:30-06:00,2019-01-29T04:22:30-06:00,66.43,63.0,13,-0.23,-0.08,16.625,93,67,100,95,100,98,519,2708,13309,9893,36000,21360,19920,3660,0,5460,1.5625,0,61,38,48,83,75,97,77,None,72
2019-01-31,83,82,100,43,96,91,72,93,24060,26340,2280,8790,13800,1470,33,91,1950,13890,2019-01-30T23:20:34-06:00,2019-01-31T06:39:34-06:00,67.82,62.0,13,0.07,0.02,16.75,97,84,95,100,100,98,471,2622,11722,8852,28680,35700,18540,3420,60,0,1.46875,1,72,72,45,95,83,98,78,None,100
2019-02-01,96,97,100,96,95,91,96,100,28890,31980,3090,11610,13290,3990,29,90,990,15570,2019-01-31T21:38:12-06:00,2019-02-01T06:31:12-06:00,66.0,61.0,12,0.09,0.12,16.75,91,53,100,95,100,96,250,2450,6053,3879,44100,25080,16500,720,0,0,1.375,0,85,100,53,97,82,96,100,None,93
2019-02-02,90,89,100,80,98,90,90,86,25800,27840,2040,14010,9120,2670,28,93,540,13440,2019-02-01T23:42:29-06:00,2019-02-02T07:26:29-06:00,68.04,63.0,13,0.32,0.23,16.75,97,81,100,100,100,95,507,2686,12946,9554,26340,31620,26460,1980,0,0,1.5,0,73,86,54,88,89,74,69,None,100
2019-02-03,87,97,100,42,100,90,82,72,28830,30360,1530,11460,15960,1410,33,95,240,14610,2019-02-02T23:50:31-06:00,2019-02-03T08:16:31-06:00,70.98,67.0,15,-0.08,0.06,16.75,94,66,95,100,100,95,513,2728,12599,9689,36720,23280,19140,3360,0,3900,1.5625,1,75,80,67,98,86,100,59,None,92
2019-02-04,63,48,96,53,88,94,63,22,16680,19200,2520,5790,9090,1800,31,87,2310,10500,2019-02-04T02:50:29-06:00,2019-02-04T08:10:29-06:00,69.36,65.0,12,0.1,0.06,16.75,92,52,95,100,100,96,575,2719,15309,10886,34740,31140,14580,5760,0,180,1.53125,1,58,23,54,80,86,96,79,None,45
